time_s,amplitude_mV
0.0000,0.01132
0.0040,-0.00181
0.0080,0.01998
0.0120,0.01724
0.0160,0.00740
0.0200,0.00196
0.0240,-0.00317
0.0280,-0.01582
0.0320,0.02141
0.0360,-0.02919
0.0400,-0.00179
0.0440,0.00661
0.0480,0.01742
0.0520,0.03132
0.0560,0.02017
0.0600,0.00127
0.0640,0.01694
0.0680,-0.01253
0.0720,0.02821
0.0760,0.00479
0.0800,-0.00259
0.0840,-0.00170
0.0880,0.00734
0.0920,0.00274
0.0960,0.04335
0.1000,-0.00140
0.1040,0.01024
0.1080,0.01055
0.1120,0.01093
0.1160,0.01172
0.1200,0.00406
0.1240,0.00294
0.1280,-0.00081
0.1320,-0.00975
0.1360,0.01632
0.1400,0.02839
0.1440,0.00610
0.1480,0.00660
0.1520,0.01110
0.1560,0.00998
0.1600,-0.00338
0.1640,0.04020
0.1680,0.02822
0.1720,0.01330
0.1760,0.03128
0.1800,0.02368
0.1840,0.03120
0.1880,0.04470
0.1920,0.05921
0.1960,0.07424
0.2000,0.08441
0.2040,0.06337
0.2080,0.06866
0.2120,0.08739
0.2160,0.09810
0.2200,0.09578
0.2240,0.10822
0.2280,0.14029
0.2320,0.16282
0.2360,0.14412
0.2400,0.14606
0.2440,0.15844
0.2480,0.15308
0.2520,0.16745
0.2560,0.17951
0.2600,0.17164
0.2640,0.18913
0.2680,0.16880
0.2720,0.16802
0.2760,0.15140
0.2800,0.16503
0.2840,0.11775
0.2880,0.12175
0.2920,0.09866
0.2960,0.11864
0.3000,0.10924
0.3040,0.07948
0.3080,0.10345
0.3120,0.06622
0.3160,0.04284
0.3200,0.05304
0.3240,0.05698
0.3280,0.04275
0.3320,0.07481
0.3360,0.04720
0.3400,0.05144
0.3440,0.03277
0.3480,-0.03441
0.3520,-0.04733
0.3560,-0.13075
0.3600,-0.16680
0.3640,-0.22799
0.3680,-0.36202
0.3720,-0.47064
0.3760,-0.55704
0.3800,-0.61475
0.3840,-0.63108
0.3880,-0.53653
0.3920,-0.31944
